filename,fold,target,category,esc10,src_file,take
1-34094-A-5.wav,1,5,cat,FALSE,34094,A
1-34094-B-5.wav,1,5,cat,FALSE,34094,B
1-47819-A-5.wav,1,5,cat,FALSE,47819,A
1-47819-B-5.wav,1,5,cat,FALSE,47819,B
1-47819-C-5.wav,1,5,cat,FALSE,47819,C
1-56380-A-5.wav,1,5,cat,FALSE,56380,A
1-56380-B-5.wav,1,5,cat,FALSE,56380,B
1-79113-A-5.wav,1,5,cat,FALSE,79113,A
2-110010-A-5.wav,2,5,cat,FALSE,110010,A
2-110011-A-5.wav,2,5,cat,FALSE,110011,A
2-69131-A-5.wav,2,5,cat,FALSE,69131,A
2-69131-B-5.wav,2,5,cat,FALSE,69131,B
2-82274-A-5.wav,2,5,cat,FALSE,82274,A
2-82274-B-5.wav,2,5,cat,FALSE,82274,B
2-83934-A-5.wav,2,5,cat,FALSE,83934,A
2-83934-B-5.wav,2,5,cat,FALSE,83934,B
3-146964-A-5.wav,3,5,cat,FALSE,146964,A
3-146965-A-5.wav,3,5,cat,FALSE,146965,A
3-146972-A-5.wav,3,5,cat,FALSE,146972,A
3-95694-A-5.wav,3,5,cat,FALSE,95694,A
3-95695-A-5.wav,3,5,cat,FALSE,95695,A
3-95695-B-5.wav,3,5,cat,FALSE,95695,B
3-95697-A-5.wav,3,5,cat,FALSE,95697,A
3-95698-A-5.wav,3,5,cat,FALSE,95698,A
4-120160-A-5.wav,4,5,cat,FALSE,120160,A
4-133047-A-5.wav,4,5,cat,FALSE,133047,A
4-133047-B-5.wav,4,5,cat,FALSE,133047,B
4-133047-C-5.wav,4,5,cat,FALSE,133047,C
4-149940-A-5.wav,4,5,cat,FALSE,149940,A
4-149940-B-5.wav,4,5,cat,FALSE,149940,B
4-161303-A-5.wav,4,5,cat,FALSE,161303,A
4-161303-B-5.wav,4,5,cat,FALSE,161303,B
5-169983-A-5.wav,5,5,cat,FALSE,169983,A
5-172299-A-5.wav,5,5,cat,FALSE,172299,A
5-172639-A-5.wav,5,5,cat,FALSE,172639,A
5-177614-A-5.wav,5,5,cat,FALSE,177614,A
5-214759-A-5.wav,5,5,cat,FALSE,214759,A
5-214759-B-5.wav,5,5,cat,FALSE,214759,B
5-256452-A-5.wav,5,5,cat,FALSE,256452,A
5-259169-A-5.wav,5,5,cat,FALSE,259169,A
1-100038-A-14.wav,1,14,chirping_birds,FALSE,100038,A
1-34495-A-14.wav,1,14,chirping_birds,FALSE,34495,A
1-34497-A-14.wav,1,14,chirping_birds,FALSE,34497,A
1-38559-A-14.wav,1,14,chirping_birds,FALSE,38559,A
1-38560-A-14.wav,1,14,chirping_birds,FALSE,38560,A
1-46040-A-14.wav,1,14,chirping_birds,FALSE,46040,A
1-54918-A-14.wav,1,14,chirping_birds,FALSE,54918,A
1-54918-B-14.wav,1,14,chirping_birds,FALSE,54918,B
2-108760-A-14.wav,2,14,chirping_birds,FALSE,108760,A
2-108760-B-14.wav,2,14,chirping_birds,FALSE,108760,B
2-108761-A-14.wav,2,14,chirping_birds,FALSE,108761,A
2-122616-A-14.wav,2,14,chirping_birds,FALSE,122616,A
2-72547-A-14.wav,2,14,chirping_birds,FALSE,72547,A
2-72547-B-14.wav,2,14,chirping_birds,FALSE,72547,B
2-72547-C-14.wav,2,14,chirping_birds,FALSE,72547,C
